-DOCSTART- -X- -X- O
mutation NN I-NP O
linked VBN B-VP O
to TO B-PP O
markers NNS B-NP O
in IN B-PP O
the DT B-NP O
11p13 NN I-NP O
region NN I-NP O
. . O O

Fatal JJ B-NP O
pyoderma NN I-NP B-Disease
gangrenosum NN I-NP I-Disease
in IN B-PP O
association NN B-NP O
with IN B-PP O
C7 NN B-NP B-Disease
deficiency NN I-NP I-Disease
. . O O

Although IN B-SBAR O
pyoderma NN B-NP B-Disease
gangrenosum NN I-NP I-Disease
( ( O O
PG NN B-NP B-Disease
) ) O O
is VBZ B-VP O
often RB I-VP O
associated VBN I-VP O
with IN B-PP O
systemic JJ B-NP B-Disease
diseases NNS I-NP I-Disease
, , O O
it PRP B-NP O
has VBZ B-VP O
not RB I-VP O
been VBN I-VP O
reported VBN I-VP O
in IN B-PP O
association NN B-NP O
with IN B-PP O
congenital JJ B-NP B-Disease
complement NN I-NP I-Disease
deficiencies NNS I-NP I-Disease
. . O O

We PRP B-NP O
describe VBP B-VP O
an DT B-NP O
aggressive JJ I-NP O
and CC I-NP O
ultimately RB I-NP O
fatal JJ I-NP O
case NN I-NP O
of IN B-PP O
PG NN B-NP B-Disease
in IN B-PP O
a DT B-NP O
patient NN I-NP O
with IN B-PP O
a DT B-NP O
congenital JJ I-NP O
C7 NN I-NP B-Disease
deficiency NN I-NP I-Disease
. . O O

Deficiencies NNS B-NP B-Disease
of IN B-PP I-Disease
C7 NN B-NP I-Disease
can MD B-VP O
be VB I-VP O
associated VBN I-VP O
with IN B-PP O
decreased VBN B-NP O
neutrophil NN I-NP O
chemotaxis NN I-NP O
, , O O
phagocytosis NN B-NP O
, , O O
and CC O O
opsonization NN B-NP O
, , O O
similar JJ B-ADJP O
to TO B-PP O
the DT B-NP O
immunologic JJ I-NP B-Disease
abnormalities NNS I-NP I-Disease
described VBN B-VP O
in IN B-PP O
patients NNS B-NP O
with IN B-PP O
PG NN B-NP B-Disease
. . O O

Our PRP$ B-NP O
patients NNS I-NP O
decreased VBD B-VP O
complement NN B-NP O
level NN I-NP O
, , O O
if IN B-SBAR O
not RB O O
directly RB B-VP O
related VBN I-VP O
to TO B-PP O
the DT B-NP O
development NN I-NP O
of IN B-PP O
PG NN B-NP B-Disease
, , O O
may MD B-VP O
have VB I-VP O
contributed VBN I-VP O
to TO B-PP O
the DT B-NP O
aggressive JJ I-NP O
nature NN I-NP O
of IN B-PP O
her PRP$ B-NP O
disease NN I-NP O
. . O O

. . O O

Diverse JJ B-NP O
point NN I-NP O
mutations NNS I-NP O
result VBP B-VP O
in IN B-PP O
glucose NN B-NP O
- HYPH B-NP O
6 CD I-NP O
- HYPH I-NP O
phosphate NN I-NP O
dehydrogenase NN I-NP O
( ( O O
G6PD NN B-NP O
) ) O O
polymorphism NN B-NP O
in IN B-PP O
Taiwan NNP B-NP O
. . O O

Glucose NN B-NP B-Disease
- HYPH B-NP I-Disease
6 CD I-NP I-Disease
- HYPH I-NP I-Disease
PHOSPHATE NN I-NP I-Disease
dehydrogenase NN I-NP I-Disease
( ( O I-Disease
G6PD NN B-NP I-Disease
; : O I-Disease
EC NNP B-NP I-Disease
1 CD I-NP I-Disease
. . O I-Disease

1 CD B-NP I-Disease
. . I-NP I-Disease

1 CD I-NP I-Disease
. . O I-Disease

49 CD O I-Disease
) ) O I-Disease
deficiency NN B-NP I-Disease
is VBZ B-VP O
the DT B-NP O
most RBS I-NP O
common JJ I-NP O
human JJ I-NP O
enzymopathy NN I-NP B-Disease
, , O O
affecting VBG B-VP O
more JJR B-NP O
than IN I-NP O
200 CD I-NP O
million CD I-NP O
people NNS I-NP O
worldwide RB B-ADVP O
. . O O

Although IN B-SBAR O
greater JJR B-NP O
than IN I-NP O
400 CD I-NP O
variants NNS I-NP O
have VBP B-VP O
been VBN I-VP O
described VBN I-VP O
based VBN B-PP O
on IN B-PP O
clinical JJ B-NP O
and CC I-NP O
biochemical JJ I-NP O
criteria NNS I-NP O
, , O O
little JJ B-NP O
is VBZ B-VP O
known VBN I-VP O
about IN B-PP O
the DT B-NP O
molecular JJ I-NP O
basis NN I-NP O
of IN B-PP O
these DT B-NP O
G6PD NN I-NP B-Disease
deficiencies NNS I-NP I-Disease
. . O O

Recently RB B-ADVP O
, , O O
the DT B-NP O
gene NN I-NP O
that WDT B-NP O
encodes VBZ B-VP O
human JJ B-NP O
G6PD NN I-NP O
has VBZ B-VP O
been VBN I-VP O
cloned VBN I-VP O
and CC I-VP O
sequenced VBN I-VP O
, , O O
which WDT B-NP O
enables VBZ B-VP O
us PRP B-NP O
to TO B-VP O
examine VB I-VP O
directly RB B-ADVP O
the DT B-NP O
heterogeneity NN I-NP O
of IN B-PP O
G6PD NN B-NP O
at IN B-PP O
the DT B-NP O
DNA NN I-NP O
level NN I-NP O
. . O O

During IN B-PP O
the DT B-NP O
past JJ I-NP O
10 CD I-NP O
years NNS I-NP O
, , O O
we PRP B-NP O
examined VBD B-VP O
the DT B-NP O
G6PD NN I-NP O
activity NN I-NP O
in IN B-PP O
21 CD B-NP O
, , O O
271 CD B-NP O
newborn JJ I-NP O
Chinese JJ I-NP O
infants NNS I-NP O
( ( O O
11 CD B-NP O
, , O O
400 CD B-NP O
males NNS I-NP O
and CC O O
9 CD B-NP O
, , O O
871 CD B-NP O
females NNS I-NP O
) ) O O
and CC O O
identified VBD B-VP O
314 CD B-NP O
( ( O O
2 CD B-NP O
. . O O

8 CD B-NP O
% NN I-NP O
) ) O O
males NNS B-NP O
and CC O O
246 CD B-NP O
( ( O O
2 CD B-NP O
. . O O

5 CD B-NP O
% NN I-NP O
) ) O O
females NNS B-NP O
having VBG B-VP O
low JJ B-NP O
G6PD NN I-NP O
activity NN I-NP O
. . O O

The DT B-NP O
G6PD NN I-NP O
gene NN I-NP O
from IN B-PP O
10 CD B-NP O
randomly RB I-NP O
selected VBN I-NP O
affected VBN I-NP O
individuals NNS I-NP O
and CC O O
their PRP$ B-NP O
relatives NNS I-NP O
was VBD B-VP O
polymerase NN B-NP O
chain NN I-NP O
reaction NN I-NP O
( ( O O
PCR NN B-NP O
) ) O O
amplified VBN B-VP O
, , O O
subcloned VBN B-VP O
, , O O
and CC O O
sequenced VBN B-VP O
. . O O

Our PRP$ B-NP O
results NNS I-NP O
indicate VBP B-VP O
that IN B-SBAR O
at IN B-NP O
least JJS I-NP O
four CD I-NP O
types NNS I-NP O
of IN B-PP O
mutation NN B-NP O
are VBP B-VP O
responsible JJ B-ADJP O
for IN B-PP O
the DT B-NP O
G6PD NN I-NP O
polymorphism NN I-NP O
in IN B-PP O
Taiwan NNP B-NP O
. . O O

The DT B-NP O
first JJ I-NP O
type NN I-NP O
of IN B-PP O
mutation NN B-NP O
( ( O O
487 CD B-NP O
G NN I-NP O
- SYM B-NP O
- SYM B-NP O
- SYM I-NP O
- HYPH I-NP O
A NN I-NP O
) ) O O
was VBD B-VP O
found VBN I-VP O
in IN B-PP O
an DT B-NP O
affected VBN I-NP O
Chinese JJ I-NP O
with IN B-PP O
a DT B-NP O
G NN I-NP O
to TO B-PP O
A NN B-NP O
change NN I-NP O
at IN B-PP O
nucleotide NN B-NP O
487 CD I-NP O
, , O O
which WDT B-NP O
results VBZ B-VP O
in IN B-PP O
a DT B-NP O
( ( O O
163 CD O O
) ) O O
Gly NN B-NP O
to TO B-PP O
Ser NN B-NP O
substitution NN I-NP O
. . O O

The DT B-NP O
second JJ I-NP O
type NN I-NP O
of IN B-PP O
mutation NN B-NP O
( ( O O
493 CD B-NP O
A NN I-NP O
- SYM B-NP O
- SYM B-NP O
- SYM I-NP O
- HYPH I-NP O
G NN I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP O
novel JJ I-NP O
mutation NN I-NP O
that WDT B-NP O
has VBZ B-VP O
not RB I-VP O
been VBN I-VP O
reported VBN I-VP O
in IN B-PP O
any DT B-NP O
other JJ I-NP O
ethnic JJ I-NP O
group NN I-NP O
and CC O O
was VBD B-VP O
identified VBN I-VP O
in IN B-PP O
two CD B-NP O
affected VBD B-VP O
Chinese NNP B-NP O
. . O O

This DT B-NP O
mutation NN I-NP O
causes VBZ B-VP O
an DT B-NP O
A NN I-NP O
to TO B-PP O
G NN B-NP O
change NN I-NP O
at IN B-PP O
nucleotide NN B-NP O
position NN I-NP O
493 CD I-NP O
, , O O
producing VBG B-VP O
an DT B-NP O
( ( I-NP O
165 CD I-NP O
) ) I-NP O
Asn NN I-NP O
to TO B-PP O
Asp NN B-NP O
substitution NN I-NP O
. . O O

Interestingly RB B-ADVP O
, , O O
the DT B-NP O
487 CD I-NP O
G NN I-NP O
- SYM B-NP O
- SYM B-NP O
- SYM I-NP O
- HYPH I-NP O
A NN I-NP O
and CC O O
493 CD B-NP O
A NN I-NP O
- SYM O O
- SYM O O
- SYM O O
- HYPH O O
G NN B-NP O
mutations NNS I-NP O
create VBP B-VP O
Alu NN B-NP O
I CD I-NP O
and CC O O
Ava NNP B-NP O
II CD I-NP O
recognition NN I-NP O
sites NNS I-NP O
, , O O
respectively RB B-ADVP O
, , O O
which WDT B-NP O
enabled VBD B-VP O
us PRP B-NP O
to TO B-VP O
rapidly RB I-VP O
detect VB I-VP O
these DT B-NP O
two CD I-NP O
mutations NNS I-NP O
by IN B-PP O
PCR NN B-NP O
/ SYM O O
restriction NN B-NP O
enzyme NN I-NP O
( ( O O
RE NN B-NP O
) ) O O
digestion NN B-NP O
method NN I-NP O
. . O O

The DT B-NP O
third JJ I-NP O
mutation NN I-NP O
( ( O O
1376 CD B-NP O
G NN I-NP O
- SYM O O
- SYM O O
- SYM O O
- HYPH O O
T NN B-NP O
) ) O O
was VBD B-VP O
found VBN I-VP O
in IN B-PP O
four CD B-NP O
affected VBD B-VP O
Chinese NNP B-NP O
. . O O

This DT B-NP O
mutation NN I-NP O
causes VBZ B-VP O
a DT B-NP O
G NN I-NP O
to TO B-PP O
T NN B-NP O
change NN I-NP O
at IN B-PP O
nucleotide NN B-NP O
position NN I-NP O
1376 CD I-NP O
that WDT B-NP O
results VBZ B-VP O
in IN B-PP O
an DT B-NP O
( ( O O
459 CD O O
) ) O O
Arg NN B-NP O
to TO B-PP O
Leu NN B-NP O
substitution NN I-NP O
. . O O

The DT B-NP O
1376 CD I-NP O
G NN I-NP O
- SYM B-NP O
- SYM B-NP O
- SYM I-NP O
- HYPH I-NP O
T NN I-NP O
mutation NN I-NP O
seems VBZ B-VP O
to TO I-VP O
be VB I-VP O
the DT B-NP O
dominant JJ I-NP O
allele NN I-NP O
that WDT B-NP O
causes VBZ B-VP O
G6PD NN B-NP B-Disease
deficiency NN I-NP I-Disease
in IN B-PP O
Taiwan NNP B-NP O
. . O O

Finally RB B-ADVP O
, , O O
two CD B-NP O
affected VBD B-VP O
Chinese NNP B-NP O
were VBD B-VP O
identified VBN I-VP O
as IN B-PP O
having VBG B-VP O
the DT B-NP O
fourth JJ I-NP O
mutation NN I-NP O
( ( O O
1388 CD B-NP O
G NN I-NP O
- SYM B-NP O
- SYM B-NP O
- SYM I-NP O
- HYPH I-NP O
A NN I-NP O
) ) O O
. . O O

This DT B-NP O
mutation NN I-NP O
causes VBZ B-VP O
a DT B-NP O
G NN I-NP O
to TO B-PP O
A NN B-NP O
change NN I-NP O
at IN B-PP O
nucleotide NN B-NP O
1388 CD I-NP O
that WDT B-NP O
produces VBZ B-VP O
an DT B-NP O
( ( O O
463 CD O O
) ) O O
Arg NN B-NP O
to TO B-PP O
His PRP$ B-NP O
substitution NN I-NP O
. . O O

Our PRP$ B-NP O
studies NNS I-NP O
provide VBP B-VP O
the DT B-NP O
direct JJ I-NP O
proof NN I-NP O
of IN B-PP O
the DT B-NP O
genetic JJ I-NP O
heterogeneity NN I-NP O
of IN B-PP O
G6PD NN B-NP B-Disease
deficiency NN I-NP I-Disease
in IN B-PP O
the DT B-NP O
Chinese JJ I-NP O
populations NNS I-NP O
of IN B-PP O
Taiwan NNP B-NP O
and CC O O
the DT B-NP O
PCR NN I-NP O
/ SYM B-NP O
RE NN I-NP O
digestion NN I-NP O
method NN I-NP O
is VBZ B-VP O
suitable JJ B-ADJP O
for IN B-PP O
simultaneous JJ B-NP O
detection NN I-NP O
of IN B-PP O
the DT B-NP O
487 CD I-NP O
G NN I-NP O
- SYM B-NP O
- SYM B-NP O
- SYM I-NP O
- HYPH I-NP O
A NN I-NP O
and CC O O
493 CD B-NP O
A NN I-NP O
- SYM B-NP O
- SYM B-NP O
- SYM I-NP O
- HYPH I-NP O
G NN I-NP O
mutations NNS I-NP O
. . O O

An DT B-NP O
error NN I-NP O
in IN B-PP O
dystrophin NN B-NP O
mRNA NN I-NP O
processing NN I-NP O
in IN B-PP O
golden JJ B-NP B-Disease
retriever NN I-NP I-Disease
muscular JJ I-NP I-Disease
dystrophy NN I-NP I-Disease
, , O O
an DT B-NP O
animal NN I-NP O
homologue NN I-NP O
of IN B-PP O
Duchenne NNP B-NP B-Disease
muscular JJ I-NP I-Disease
dystrophy NN I-NP I-Disease
. . O O

Golden JJ B-NP B-Disease
retriever NN I-NP I-Disease
muscular JJ I-NP I-Disease
dystrophy NN I-NP I-Disease
( ( O O
GRMD NN B-NP B-Disease
) ) O O
is VBZ B-VP O
a DT B-NP O
spontaneous JJ I-NP O
, , I-NP O
X NN I-NP O
- HYPH I-NP O
linked VBN B-VP O
, , O O
progressively RB B-NP O
fatal JJ I-NP O
disease NN I-NP O
of IN B-PP O
dogs NNS B-NP O
and CC O O
is VBZ B-VP O
also RB B-ADVP O
a DT B-NP O
homologue NN I-NP O
of IN B-PP O
Duchenne NNP B-NP B-Disease
muscular JJ I-NP I-Disease
dystrophy NN I-NP I-Disease
( ( O O
DMD NN B-NP B-Disease
) ) O O
. . O O

Two CD B-NP O
- HYPH I-NP O
thirds NNS I-NP O
of IN B-PP O
DMD NN B-NP B-Disease
patients NNS I-NP O
carry VBP B-VP O
detectable JJ B-NP O
deletions NNS I-NP O
in IN B-PP O
their PRP$ B-NP O
dystrophin NN I-NP O
gene NN I-NP O
. . O O

The DT B-NP O
defect NN I-NP O
underlying VBG B-VP O
the DT B-NP O
remaining VBG I-NP O
one CD I-NP O
- HYPH I-NP O
third JJ I-NP O
of IN B-PP O
DMD NN B-NP B-Disease
patients NNS I-NP O
is VBZ B-VP O
undetermined JJ B-ADJP O
. . O O

Analysis NN B-NP O
of IN B-PP O
the DT B-NP O
canine JJ I-NP O
dystrophin NN I-NP O
gene NN I-NP O
in IN B-PP O
normal JJ B-NP O
and CC I-NP O
GRMD NN I-NP B-Disease
dogs NNS I-NP O
has VBZ B-VP O
failed VBN I-VP O
to TO I-VP O
demonstrate VB I-VP O
any DT B-NP O
detectable JJ I-NP O
loss NN I-NP O
of IN B-PP O
exons NNS B-NP O
. . O O

Here RB B-ADVP O
, , O O
we PRP B-NP O
have VBP B-VP O
demonstrated VBN I-VP O
a DT B-NP O
RNA NN I-NP O
processing NN I-NP O
error NN I-NP O
in IN B-PP O
GRMD NN B-NP B-Disease
that WDT B-NP O
results VBZ B-VP O
from IN B-PP O
a DT B-NP O
single JJ I-NP O
base NN I-NP O
change NN I-NP O
in IN B-PP O
the DT B-NP O
3 CD I-NP O
consensus NN I-NP O
splice NN I-NP O
site NN I-NP O
of IN B-PP O
intron NN B-NP O
6 CD I-NP O
. . O O

The DT B-NP O
seventh JJ I-NP O
exon NN I-NP O
is VBZ B-VP O
then RB I-VP O
skipped VBN I-VP O
, , O O
which WDT B-NP O
predicts VBZ B-VP O
a DT B-NP O
termination NN I-NP O
of IN B-PP O
the DT B-NP O
dystrophin NN I-NP O
reading NN I-NP O
frame NN I-NP O
within IN B-PP O
its PRP$ B-NP O
N NN I-NP O
- HYPH I-NP O
terminal JJ I-NP O
domain NN I-NP O
in IN B-PP O
exon NN B-NP O
8 CD I-NP O
. . O O

This DT B-NP O
is VBZ B-VP O
the DT B-NP O
first JJ I-NP O
example NN I-NP O
of IN B-PP O
dystrophin NN B-NP B-Disease
deficiency NN I-NP I-Disease
caused VBN B-VP O
by IN B-PP O
a DT B-NP O
splice NN I-NP O
- HYPH I-NP O
site NN I-NP O
mutation NN I-NP O
. . O O

. . O O

Type NN B-NP B-Disease
I CD I-NP I-Disease
human JJ I-NP I-Disease
complement NN I-NP I-Disease
C2 NN I-NP I-Disease
deficiency NN I-NP I-Disease
. . O O

A DT B-NP O
28 CD I-NP O
- HYPH I-NP O
base NN I-NP O
pair NN I-NP O
gene NN I-NP O
deletion NN I-NP O
causes VBZ B-VP O
skipping NN B-NP O
of IN B-PP O
exon NN B-NP O
6 CD I-NP O
during IN B-PP O
RNA NN B-NP O
splicing NN I-NP O
. . O O

Two CD B-NP O
variants NNS I-NP O
of IN B-PP O
a DT B-NP O
genetic JJ I-NP O
deficiency NN I-NP B-Disease
of IN B-PP I-Disease
complement NN B-NP I-Disease
protein NN I-NP I-Disease
C2 NN I-NP I-Disease
( ( O O
C2D NN B-NP O
) ) O O
have VBP B-VP O
been VBN I-VP O
previously RB I-VP O
identified VBN I-VP O
. . O O

No DT B-NP O
C2 NN I-NP O
protein NN I-NP O
translation NN I-NP O
is VBZ B-VP O
detected VBN I-VP O
in IN B-PP O
type NN B-NP O
I CD I-NP O
deficiency NN I-NP O
, , O O
while IN B-SBAR O
type NN B-NP O
II CD I-NP O
deficiency NN I-NP O
is VBZ B-VP O
characterized VBN I-VP O
by IN B-PP O
a DT B-NP O
selective JJ I-NP O
block NN I-NP O
in IN B-PP O
C2 NN B-NP O
secretion NN I-NP O
. . O O

Type NN B-NP B-Disease
I CD I-NP I-Disease
C2 NN I-NP I-Disease
deficiency NN I-NP I-Disease
was VBD B-VP O
described VBN I-VP O
in IN B-PP O
a DT B-NP O
family NN I-NP O
in IN B-PP O
which WDT B-NP O
the DT B-NP O
C2 NN I-NP O
allele NN I-NP O
( ( O O
C2Q0 NN B-NP O
) ) O O
is VBZ B-VP O
associated VBN I-VP O
with IN B-PP O
the DT B-NP O
major JJ I-NP O
histocompatibility NN I-NP O
haplotype NN I-NP O
/ SYM B-VP O
complotype NN B-NP O
HLA NN I-NP O
- HYPH B-NP O
A25 NN I-NP O
, , O O
B18 NN B-NP O
, , O O
C2Q0 NN B-NP O
, , O O
BfS NN B-NP O
, , O O
C4A4 NN B-NP O
, , O O
C4B2 NN B-NP O
, , O O
Drw2 NN B-NP O
; : O O
this DT B-NP O
extended VBN I-NP O
haplotype NN I-NP O
occurs VBZ B-VP O
in IN B-PP O
over IN B-NP O
90 CD I-NP O
% NN I-NP O
of IN B-PP O
C2 NN B-NP B-Disease
- HYPH B-NP I-Disease
deficient JJ I-NP I-Disease
individuals NNS I-NP O
( ( O O
common JJ B-NP O
complotype NN I-NP O
/ SYM B-NP O
haplotype NN I-NP O
) ) O O
. . O O

To TO B-VP O
determine VB I-VP O
the DT B-NP O
molecular JJ I-NP O
basis NN I-NP O
of IN B-PP O
type NN B-NP B-Disease
I CD I-NP I-Disease
C2 NN I-NP I-Disease
deficiency NN I-NP I-Disease
, , O O
the DT B-NP O
C2 NN I-NP O
gene NN I-NP O
and CC I-NP O
cDNA NN I-NP O
were VBD B-VP O
characterized VBN I-VP O
from IN B-PP O
a DT B-NP O
homozygous JJ I-NP O
type NN I-NP B-Disease
I CD I-NP I-Disease
C2 NN I-NP I-Disease
- HYPH B-NP I-Disease
deficient JJ I-NP I-Disease
individual NN I-NP O
with IN B-PP O
the DT B-NP O
common JJ I-NP O
associated VBN I-NP O
haplotype NN I-NP O
/ SYM B-NP O
complotype NN I-NP O
. . O O

We PRP B-NP O
found VBD B-VP O
a DT B-NP O
28 CD I-NP O
- HYPH I-NP O
base NN I-NP O
pair NN I-NP O
deletion NN I-NP O
in IN B-PP O
the DT B-NP O
type NN I-NP O
I CD I-NP O
C2Q0 NN I-NP O
gene NN I-NP O
, , O O
beginning VBG B-VP O
9 CD B-NP O
base NN I-NP O
pairs NNS I-NP O
upstream RB B-ADVP O
of IN B-PP O
the DT B-NP O
3 CD I-NP O
- HYPH I-NP O
end NN I-NP O
of IN B-PP O
exon NN B-NP O
6 CD I-NP O
, , O O
that WDT B-NP O
generates VBZ B-VP O
a DT B-NP O
C2 NN I-NP O
transcript NN I-NP O
with IN B-PP O
a DT B-NP O
complete JJ I-NP O
deletion NN I-NP O
of IN B-PP O
exon NN B-NP O
6 CD I-NP O
( ( O O
134 CD B-NP O
base NN I-NP O
pair NN I-NP O
) ) O O
and CC O O
a DT B-NP O
premature JJ I-NP O
termination NN I-NP O
codon NN I-NP O
. . O O

In IN B-PP O
studies NNS B-NP O
of IN B-PP O
eight CD B-NP O
kindred NN I-NP O
, , O O
the DT B-NP O
28 CD I-NP O
- HYPH I-NP O
base NN I-NP O
pair NN I-NP O
deletion NN I-NP O
was VBD B-VP O
observed VBN I-VP O
in IN B-PP O
all DT B-NP O
C2Q0 NN I-NP O
alleles NNS I-NP O
associated VBN B-VP O
with IN B-PP O
the DT B-NP O
common JJ I-NP O
type NN I-NP O
I CD I-NP O
deficient JJ I-NP O
complotype NN I-NP O
/ SYM B-NP O
haplotype NN I-NP O
; : O O
this DT B-NP O
deletion NN I-NP O
was VBD B-VP O
not RB O O
present JJ B-ADJP O
in IN B-PP O
normal JJ B-NP O
C2 NN I-NP O
nor CC B-PP O
in IN B-PP O
type NN B-NP B-Disease
II CD I-NP I-Disease
C2 NN I-NP I-Disease
- HYPH B-NP I-Disease
deficient JJ I-NP I-Disease
genes NNS I-NP O
. . O O

These DT B-NP O
data NNS I-NP O
demonstrate VBP B-VP O
that IN B-SBAR O
1 LS B-LST O
) ) O O
type NN B-NP B-Disease
I CD I-NP I-Disease
human JJ I-NP I-Disease
complement NN I-NP I-Disease
C2 NN I-NP I-Disease
deficiency NN I-NP I-Disease
is VBZ B-VP O
caused VBN I-VP O
by IN B-PP O
a DT B-NP O
28 CD I-NP O
- HYPH I-NP O
base NN I-NP O
pair NN I-NP O
genomic JJ I-NP O
deletion NN I-NP O
that WDT B-NP O
causes VBZ B-VP O
skipping NN B-NP O
of IN B-PP O
exon NN B-NP O
6 CD I-NP O
during IN B-PP O
RNA NN B-NP O
splicing NN I-NP O
, , O O
resulting VBG B-VP O
in IN B-PP O
generation NN B-NP O
of IN B-PP O
a DT B-NP O
premature JJ I-NP O
termination NN I-NP O
codon NN I-NP O
, , O O
2 LS B-LST O
) ) O O
the DT B-NP O
28 CD I-NP O
- HYPH I-NP O
base NN I-NP O
pair NN I-NP O
deletion NN I-NP O
in IN B-PP O
the DT B-NP O
type NN I-NP O
I CD I-NP O
C2Q0 NN I-NP O
gene NN I-NP O
is VBZ B-VP O
strongly RB I-VP O
associated VBN I-VP O
with IN B-PP O
the DT B-NP O
HLA NN I-NP O
haplotype NN I-NP O
/ SYM B-NP O
complotype NN I-NP O
A25 NN I-NP O
, , O O
B18 NN B-NP O
, , O O
C2Q0 NN B-NP O
, , O O
BfS NN B-NP O
, , O O
C4A4 NN B-NP O
, , O O
C4B2 NN B-NP O
, , O O
Drw2 NN B-NP O
, , O O
suggesting VBG B-VP O
that IN B-SBAR O
all DT B-NP O
C2 NN I-NP B-Disease
- HYPH O I-Disease
deficient JJ B-NP I-Disease
individuals NNS I-NP O
with IN B-PP O
this DT B-NP O
haplotype NN I-NP O
/ SYM B-NP O
complotype NN I-NP O
will MD B-VP O
harbor VB I-VP O
the DT B-NP O
28 CD I-NP O
- HYPH I-NP O
base NN I-NP O
pair NN I-NP O
C2 NN I-NP O
gene NN I-NP O
deletion NN I-NP O
, , O O
and CC O O
3 LS B-LST O
) ) O O
type NN B-NP B-Disease
II CD I-NP I-Disease
C2 NN I-NP I-Disease
deficiency NN I-NP I-Disease
is VBZ B-VP O
caused VBN I-VP O
by IN B-PP O
a DT B-NP O
different JJ I-NP O
, , O O
as IN B-SBAR O
yet RB B-NP O
uncharacterized JJ I-NP O
, , I-NP O
molecular JJ I-NP O
genetic JJ I-NP B-Disease
defect NN I-NP I-Disease
. . O O

. . O O

Molecular JJ B-NP O
characterization NN I-NP O
of IN B-PP O
two CD B-NP O
galactosemia NN I-NP B-Disease
mutations NNS I-NP O
and CC O O
one CD B-NP O
polymorphism NN I-NP O
: : O O
implications NNS B-NP O
for IN B-PP O
structure NN B-NP O
- HYPH B-NP O
function NN I-NP O
analysis NN I-NP O
of IN B-PP O
human JJ B-NP O
galactose NN I-NP O
- HYPH B-NP O
1 CD I-NP O
- HYPH I-NP O
phosphate NN I-NP O
uridyltransferase NN I-NP O
. . O O

We PRP B-NP O
report VBP B-VP O
here RB B-ADVP O
the DT B-NP O
molecular JJ I-NP O
characterization NN I-NP O
of IN B-PP O
two CD B-NP O
galactosemia NN I-NP B-Disease
mutations NNS I-NP O
, , O O
L74P NN B-NP O
and CC I-NP O
F171S NN I-NP O
, , O O
and CC O O
one CD B-NP O
polymorphism NN I-NP O
, , O O
S135L NN B-NP O
, , O O
in IN B-PP O
human JJ B-NP O
galactose NN I-NP O
- HYPH B-NP O
1 CD I-NP O
- HYPH I-NP O
phosphate NN I-NP O
uridyltransferase NN I-NP O
( ( O O
GALT NN B-NP O
) ) O O
. . O O

Both DT B-NP O
galactosemia NN I-NP B-Disease
mutations NNS I-NP O
result VBP B-VP O
in IN B-PP O
reduced VBN B-NP O
enzymatic JJ I-NP O
activity NN I-NP O
when WRB B-ADVP O
reconstructed VBN B-VP O
in IN B-PP O
the DT B-NP O
cDNA NN I-NP O
and CC O O
overexpressed VBN B-VP O
. . O O

The DT B-NP O
polymorphism NN I-NP O
, , O O
in IN B-PP O
contrast NN B-NP O
, , O O
has VBZ B-VP O
near IN B-PP O
normal JJ B-NP O
activity NN I-NP O
. . O O

Both DT B-NP O
mutations NNS I-NP O
affect VBP B-VP O
evolutionarily RB B-NP O
conserved VBN I-NP O
residues NNS I-NP O
, , O O
suggesting VBG B-VP O
that IN B-SBAR O
they PRP B-NP O
are VBP B-VP O
functionally RB B-ADJP O
important JJ I-ADJP O
, , O O
while IN B-SBAR O
the DT B-NP O
polymorphism NN I-NP O
occurs VBZ B-VP O
in IN B-PP O
a DT B-NP O
nonconserved JJ I-NP O
domain NN I-NP O
which WDT B-NP O
is VBZ B-VP O
presumably RB B-ADVP O
not RB O O
critical JJ B-ADJP O
for IN B-PP O
enzymatic JJ B-NP O
function NN I-NP O
. . O O

The DT B-NP O
F171S NN I-NP O
mutation NN I-NP O
is VBZ B-VP O
close JJ B-ADJP O
to TO B-PP O
the DT B-NP O
putative JJ I-NP O
active JJ I-NP O
- HYPH I-NP O
site NN I-NP O
nucleophile NN I-NP O
. . O O

Our PRP$ B-NP O
data NNS I-NP O
further RB B-ADVP O
support VBP B-VP O
the DT B-NP O
notion NN I-NP O
of IN B-PP O
molecular JJ B-NP O
heterogeneity NN I-NP O
of IN B-PP O
galactosemia NN B-NP B-Disease
and CC O O
suggest VBP B-VP O
that IN B-SBAR O
galactosemia NN B-NP B-Disease
mutations NNS I-NP O
and CC O O
GALT NN B-NP O
polymorphisms NNS I-NP O
may MD B-VP O
be VB I-VP O
useful JJ B-NP O
tools NNS I-NP O
in IN B-PP O
highlighting VBG B-VP O
different JJ B-NP O
functional JJ I-NP O
domains NNS I-NP O
in IN B-PP O
human JJ B-NP O
GALT NN I-NP O
. . O O

. . O O

Linkage NN B-NP O
relationship NN I-NP O
of IN B-PP O
C2 NN B-NP B-Disease
deficiency NN I-NP I-Disease
, , O O
HLA NN B-NP O
and CC I-NP O
glyoxalase NN I-NP O
I CD B-NP O
loci NNS I-NP O
. . O O

Immunogenetic JJ B-NP O
analysis NN I-NP O
of IN B-PP O
a DT B-NP O
homozygous JJ I-NP O
C2 NN I-NP B-Disease
- HYPH B-NP I-Disease
